iso3,country,year,indicator_code,indicator_name,value,unit,vintage,source
BRA,Brasil,2005,GGXONLB_NGDP,Saldo primário do governo geral,3.864787,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2006,GGXONLB_NGDP,Saldo primário do governo geral,1.506652,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2007,GGXONLB_NGDP,Saldo primário do governo geral,2.880457,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2008,GGXONLB_NGDP,Saldo primário do governo geral,3.21331,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2009,GGXONLB_NGDP,Saldo primário do governo geral,0.911779,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2010,GGXONLB_NGDP,Saldo primário do governo geral,1.579591,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2011,GGXONLB_NGDP,Saldo primário do governo geral,2.737163,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2012,GGXONLB_NGDP,Saldo primário do governo geral,2.220725,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2013,GGXONLB_NGDP,Saldo primário do governo geral,1.519757,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2014,GGXONLB_NGDP,Saldo primário do governo geral,-0.90003,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2015,GGXONLB_NGDP,Saldo primário do governo geral,-0.85273,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2016,GGXONLB_NGDP,Saldo primário do governo geral,-2.007588,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2017,GGXONLB_NGDP,Saldo primário do governo geral,-1.624567,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2018,GGXONLB_NGDP,Saldo primário do governo geral,-0.866908,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2019,GGXONLB_NGDP,Saldo primário do governo geral,-0.082775,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2020,GGXONLB_NGDP,Saldo primário do governo geral,-7.535862,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2021,GGXONLB_NGDP,Saldo primário do governo geral,1.978528,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2022,GGXONLB_NGDP,Saldo primário do governo geral,1.306805,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2023,GGXONLB_NGDP,Saldo primário do governo geral,-2.167607,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2024,GGXONLB_NGDP,Saldo primário do governo geral,-0.218717,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2025,GGXONLB_NGDP,Saldo primário do governo geral,-0.388479,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2026,GGXONLB_NGDP,Saldo primário do governo geral,-0.452359,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2027,GGXONLB_NGDP,Saldo primário do governo geral,-0.444064,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2028,GGXONLB_NGDP,Saldo primário do governo geral,0.081641,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
BRA,Brasil,2029,GGXONLB_NGDP,Saldo primário do governo geral,0.428505,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2000,GGXWDG_NGDP,Dívida bruta do governo geral,38.455004,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2001,GGXWDG_NGDP,Dívida bruta do governo geral,37.315104,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2002,GGXWDG_NGDP,Dívida bruta do governo geral,39.866069,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2003,GGXWDG_NGDP,Dívida bruta do governo geral,42.132815,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2004,GGXWDG_NGDP,Dívida bruta do governo geral,38.905888,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2005,GGXWDG_NGDP,Dívida bruta do governo geral,36.840513,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2006,GGXWDG_NGDP,Dívida bruta do governo geral,35.776544,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2007,GGXWDG_NGDP,Dívida bruta do governo geral,35.529023,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2008,GGXWDG_NGDP,Dívida bruta do governo geral,40.604769,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2009,GGXWDG_NGDP,Dívida bruta do governo geral,41.666748,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2010,GGXWDG_NGDP,Dívida bruta do governo geral,40.155216,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2011,GGXWDG_NGDP,Dívida bruta do governo geral,41.166781,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2012,GGXWDG_NGDP,Dívida bruta do governo geral,40.814554,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2013,GGXWDG_NGDP,Dívida bruta do governo geral,44.066479,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2014,GGXWDG_NGDP,Dívida bruta do governo geral,47.09279,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2015,GGXWDG_NGDP,Dívida bruta do governo geral,50.972958,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2016,GGXWDG_NGDP,Dívida bruta do governo geral,55.00331,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2017,GGXWDG_NGDP,Dívida bruta do governo geral,52.521184,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2018,GGXWDG_NGDP,Dívida bruta do governo geral,52.20177,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2019,GGXWDG_NGDP,Dívida bruta do governo geral,51.868638,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
MEX,México,2020,GGXWDG_NGDP,Dívida bruta do governo geral,58.456337,% do PIB,FM-2026-04,IMF Fiscal Monitor April 2026 (DataMapper)
